environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.2420516661532561
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,1.0239033357547807
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,1.020977283108344
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.6217406186973459
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8696365375756226
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8255038387506409
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.5661843427007114
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.6117889875596071
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6301667907485772
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.8266920218625342
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.673149345728537
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6261246766112415
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.0003845051544835
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.6992491210175148
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7861830607348116
