environment,model,state_id,task_id,evaluation_seed,split,variant,method,adaptation_seed,projection_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,pose_error,selected_action,oracle_action,selected_is_null
PushT,jepa_wm_pusht,8,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.28610195971877866,0.1673451998539306,0.0,4.424842100586139,0.08214152602004465,8,1,0
PushT,jepa_wm_pusht,8,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.8974594425317869,0.5756774058125651,0.0,1.48044621061933,0.08811424229755992,0,6,1
PushT,jepa_wm_pusht,8,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,1.0,0.35736747119776135,0.0,1.4816266131569737,0.12930810124764686,3,1,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.7730667278637069,1.0,1.2662965521881557,0.028427868583301076,1,0,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,1.0,0.2569658400111162,0.0,1.596081363545934,0.0717452108858188,9,2,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.0,0.5322326523786144,1.0,1.114319197542268,0.09040686411742019,3,3,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.9857156299471648,0.12443348799525786,0.0,1.335622753015596,0.043326069557287,8,1,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.1030047197118212,0.8336077010560347,0.0,1.4712221326779689,0.06421789544026826,4,6,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.6789019354624969,0.31481793389362495,0.0,2.1030875842653525,0.0921892727985091,3,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.6306193291317473,0.3122009730527463,0.0,3.694602412342987,0.06871210401110786,4,7,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.9340674270299438,1.0,0.7157491490241047,0.06186334790535961,6,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,1.0,0.4857434603791251,0.0,1.4533303710325023,0.12614413504786753,3,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.9932484275310741,1.0,0.48244635893940074,0.2652975299447007,6,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.813999820836502,1.0,0.8427916020197944,0.10847865958225589,4,4,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.01885074951463251,0.7776731409761732,0.0,0.83473913556651,0.1130557134660011,4,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,0.9208791673409782,1.0,0.6974138094148086,0.2337079956999148,6,6,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,3,0.0,0.8718765233747691,1.0,0.8155194062094053,0.08989377871371587,2,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,6,0.38537176163888476,0.789650111039633,0.0,0.9662608469507332,0.11420461651861455,3,2,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,1,0.0,nan,1.0,nan,0.024579742300070033,7,0,0
