environment,model,state_id,task_id,variant,method,adaptation_seed,decoder_index,decoder_projection_seed,horizon,certificate_bound,normalized_gap,certificate_normalized_regret_q,conventional_normalized_regret,regret_bound_holds,top1_certified,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,0,13501,1,23072.86474615347,inf,0.0,0.0,True,False,True,7,0
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,1,13519,1,28392.003189155963,inf,0.0,0.0,True,False,True,7,0
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,2,13537,1,51494.94446267724,inf,0.0,0.0,True,False,True,1,0
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,0,13501,3,1.2309471116360273,0.22439910568143512,0.22439910568143512,0.22439910568143512,True,False,False,5,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,1,13519,3,2.509665286348315,0.22439910568143512,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,2,13537,3,1.7145497665960205,0.22439910568143512,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,0,13501,6,0.8525971951891709,0.10985312473301036,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,1,13519,6,0.8977489265834,0.10985312473301036,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,2,13537,6,0.7538428078990022,0.10985312473301036,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,0,13501,1,77023.86824763351,inf,0.0,0.0,True,False,True,7,0
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,1,13519,1,32266.42443059165,inf,0.0,0.0,True,False,True,4,0
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,2,13537,1,38596.83156020542,inf,0.0,0.0,True,False,True,4,0
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,0,13501,3,2.1593027085389944,0.3147370809376674,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,1,13519,3,0.5132881595719964,0.3147370809376674,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,2,13537,3,0.6419779412268991,0.3147370809376674,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,0,13501,6,1.1890903456167619,0.04855924422800973,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,1,13519,6,0.5472087781553768,0.04855924422800973,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,2,13537,6,1.1772488376744836,0.04855924422800973,0.0,0.0,True,False,True,3,3
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,0,13501,1,0.6196417471827678,0.04667333317829818,0.07048233322040907,0.07048233322040907,True,False,False,1,4
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,1,13519,1,1.1308497348944528,0.04667333317829818,0.04667333317829818,0.04667333317829818,True,False,False,6,4
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,2,13537,1,1.1946350091413682,0.04667333317829818,0.04667333317829818,0.04667333317829818,True,False,False,6,4
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,0,13501,3,0.7392532237449715,0.32628899571658077,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,1,13519,3,1.2739266834854106,0.32628899571658077,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,2,13537,3,0.5567694462414202,0.32628899571658077,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,0,13501,6,1.0241621633687632,0.3019145847229555,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,1,13519,6,1.1136792292640048,0.3019145847229555,0.7080360849048052,0.7080360849048052,True,False,False,2,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,2,13537,6,0.9058817144595909,0.3019145847229555,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,0,13501,1,44436.814727177465,inf,0.0,0.0,True,False,True,6,0
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,1,13519,1,55048.62005872147,inf,0.0,0.0,True,False,True,6,0
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,2,13537,1,61515.78942489055,inf,0.0,0.0,True,False,True,8,0
