environment,treatment,baseline,projection_seed,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,paired_state_seed_rows,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,6,top1_correct,True,3,72,0.01388888888888889,-0.125,0.125,3,2000,"{""1"": 0.125, ""2"": -0.125, ""6"": 0.04166666666666667}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,1,normalized_regret,True,3,72,0.00932029742012355,-0.028894409404591603,0.05656111592289445,3,2000,"{""1"": 0.05656111592289445, ""2"": -0.028894409404591603, ""6"": 0.00029418574206780193}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,1,weighted_pairwise_accuracy,True,3,57,0.017143840341705126,-0.018613882211231825,0.05035972109640933,3,2000,"{""1"": 0.019685682139937877, ""2"": -0.018613882211231825, ""6"": 0.05035972109640933}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,1,top1_correct,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,1,normalized_regret,True,3,72,0.006666735435296986,-0.007160232923237336,0.015061698565772453,3,2000,"{""1"": 0.015061698565772453, ""2"": 0.01209874066335584, ""6"": -0.007160232923237336}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,1,weighted_pairwise_accuracy,True,3,57,0.014241725894021505,-0.007835883399478445,0.038632271306192,3,2000,"{""1"": 0.038632271306192, ""2"": 0.011928789775350963, ""6"": -0.007835883399478445}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,1,top1_correct,True,3,72,0.041666666666666664,0.0,0.125,3,2000,"{""1"": 0.125, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,1,normalized_regret,True,3,72,-0.01556014196041391,-0.03206577429269925,0.0,3,2000,"{""1"": 0.0, ""2"": -0.03206577429269925, ""6"": -0.014614651588542475}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,1,weighted_pairwise_accuracy,True,3,57,-0.0018097880286311035,-0.01371690232884657,0.01460340245401688,3,2000,"{""1"": 0.01460340245401688, ""2"": -0.013716902328846568, ""6"": -0.006315864211063622}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,1,top1_correct,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,3,normalized_regret,True,3,72,-0.004596726779482889,-0.012308941097304271,0.0,3,2000,"{""1"": -0.012308941097304271, ""2"": 0.0, ""6"": -0.001481239241144395}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,3,weighted_pairwise_accuracy,True,3,72,-0.026268464485458293,-0.058114320494293124,0.01909139345714261,3,2000,"{""1"": -0.058114320494293124, ""2"": -0.03978246641922438, ""6"": 0.01909139345714261}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,3,top1_correct,True,3,72,0.0,-0.125,0.125,3,2000,"{""1"": -0.125, ""2"": 0.0, ""6"": 0.125}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,3,normalized_regret,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,3,weighted_pairwise_accuracy,True,3,72,-0.009892599859500256,-0.029068764797722704,0.016434530532517762,3,2000,"{""1"": -0.029068764797722704, ""2"": -0.017043565313295823, ""6"": 0.016434530532517762}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,3,top1_correct,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,3,normalized_regret,True,3,72,0.04370671348827195,-0.01103937391789168,0.10245461999575638,3,2000,"{""1"": 0.03970489438695115, ""2"": 0.10245461999575638, ""6"": -0.011039373917891681}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,3,weighted_pairwise_accuracy,True,3,72,0.0038741486414071748,-0.00024426369663799186,0.00863540854304545,3,2000,"{""1"": 0.0032313010778140666, ""2"": -0.00024426369663799186, ""6"": 0.00863540854304545}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,3,top1_correct,True,3,72,0.13888888888888887,0.08333333333333333,0.16666666666666666,3,2000,"{""1"": 0.08333333333333333, ""2"": 0.16666666666666666, ""6"": 0.16666666666666666}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,6,normalized_regret,True,3,72,-0.018151888059765753,-0.06071645663975176,0.0062607924604545125,3,2000,"{""1"": -0.06071645663975177, ""2"": 0.0, ""6"": 0.0062607924604545125}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,6,weighted_pairwise_accuracy,True,3,72,-0.011718120569610224,-0.06386761818125604,0.027220360772990043,3,2000,"{""1"": 0.0014928956994353197, ""2"": -0.06386761818125604, ""6"": 0.027220360772990043}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,6,top1_correct,True,3,72,-0.08333333333333333,-0.125,0.0,3,2000,"{""1"": -0.125, ""2"": 0.0, ""6"": -0.125}"
