environment,treatment,baseline,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,estimate,low,high,n_tasks,n_bootstrap,task_means_json
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,3,normalized_regret,True,3,-0.011428744468737368,-0.054630614120019384,0.013926487095785428,3,2000,"{""1"": 0.006417893618021853, ""2"": 0.013926487095785428, ""6"": -0.054630614120019384}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,3,weighted_pairwise_accuracy,True,3,0.004757849609033942,-0.005458061045531169,0.011223666399189461,3,2000,"{""1"": 0.011223666399189461, ""2"": -0.005458061045531169, ""6"": 0.008507943473443535}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,3,top1_correct,True,3,0.08333333333333333,-0.041666666666666664,0.29166666666666663,3,2000,"{""1"": 0.29166666666666663, ""2"": 0.0, ""6"": -0.041666666666666664}"
Wall,fidelity_constrained_matched_geometry,frozen,6,normalized_regret,True,3,-0.006638355878046842,-0.019915067634140526,0.0,3,2000,"{""1"": -0.019915067634140526, ""2"": 0.0, ""6"": 0.0}"
Wall,fidelity_constrained_matched_geometry,frozen,6,weighted_pairwise_accuracy,True,3,-0.01652112238413098,-0.027748427244674714,-7.719613423277406e-05,3,2000,"{""1"": -0.021737743773485453, ""2"": -7.719613423277406e-05, ""6"": -0.027748427244674714}"
Wall,fidelity_constrained_matched_geometry,frozen,6,top1_correct,True,3,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,6,normalized_regret,True,3,0.0028128635265097235,-0.03815406503691238,0.04659265561644155,3,2000,"{""1"": 0.0, ""2"": 0.04659265561644155, ""6"": -0.03815406503691238}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,6,weighted_pairwise_accuracy,True,3,-0.015047914751096403,-0.09353212327662763,0.11885773405542965,3,2000,"{""1"": -0.07046935503209123, ""2"": 0.11885773405542965, ""6"": -0.09353212327662763}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,6,top1_correct,True,3,0.02777777777777778,0.0,0.08333333333333333,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.08333333333333334}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,6,normalized_regret,True,3,-0.0032258080299267453,-0.009677424089780236,0.0,3,2000,"{""1"": -0.009677424089780236, ""2"": 0.0, ""6"": 0.0}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,6,weighted_pairwise_accuracy,True,3,-0.04492775993500475,-0.06077900376401532,-0.033556088625159734,3,2000,"{""1"": -0.033556088625159734, ""2"": -0.06077900376401532, ""6"": -0.04044818741583921}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,6,top1_correct,True,3,-0.027777777777777776,-0.08333333333333333,0.0,3,2000,"{""1"": -0.08333333333333333, ""2"": 0.0, ""6"": 0.0}"
