environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,native_anchor
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.02884085476398468
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.03715260326862335
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.016200367361307144
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04222089797258377
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.050760239362716675
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.05185052007436752
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.12058445811271667
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.13661667704582214
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.026928728446364403
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.05242345109581947
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.06887917220592499
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.015775788575410843
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.02972935512661934
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.039283525198698044
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.02602594904601574
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.035450175404548645
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0394674688577652
