environment,method,adaptation_seed,projection_seed,horizon,metric,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_latent_only,11437,15001,1,selected_is_null,0.125,0.0,0.25,3,2000,"{""1"": 0.125, ""2"": 0.0, ""6"": 0.25}"
PushT,fidelity_constrained_latent_only,11437,15001,3,normalized_regret,0.24542727873088566,0.15384318711925005,0.36900977522639805,3,2000,"{""1"": 0.21342887384700893, ""2"": 0.369009775226398, ""6"": 0.15384318711925005}"
PushT,fidelity_constrained_latent_only,11437,15001,3,weighted_pairwise_accuracy,0.7210479010216017,0.6541528280967182,0.8147454462214111,3,2000,"{""1"": 0.6942454287466755, ""2"": 0.6541528280967182, ""6"": 0.8147454462214111}"
PushT,fidelity_constrained_latent_only,11437,15001,3,top1_correct,0.375,0.25,0.5,3,2000,"{""1"": 0.375, ""2"": 0.25, ""6"": 0.5}"
PushT,fidelity_constrained_latent_only,11437,15001,3,normalized_margin_rmse,1.162771783414914,0.943413261444484,1.5013547920969337,3,2000,"{""1"": 1.0435472967033244, ""2"": 1.5013547920969337, ""6"": 0.943413261444484}"
PushT,fidelity_constrained_latent_only,11437,15001,3,pose_error,0.0950973510438683,0.08335800838451511,0.11810131614291647,3,2000,"{""1"": 0.08383272860417328, ""2"": 0.11810131614291647, ""6"": 0.08335800838451511}"
PushT,fidelity_constrained_latent_only,11437,15001,3,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_latent_only,11437,15001,6,normalized_regret,0.21912344691175875,0.03941563946036687,0.38479144784406755,3,2000,"{""1"": 0.38479144784406755, ""2"": 0.23316325343084185, ""6"": 0.03941563946036687}"
PushT,fidelity_constrained_latent_only,11437,15001,6,weighted_pairwise_accuracy,0.7169025994632423,0.6443575483377341,0.8593659494171767,3,2000,"{""1"": 0.6443575483377341, ""2"": 0.6469843006348162, ""6"": 0.8593659494171767}"
PushT,fidelity_constrained_latent_only,11437,15001,6,top1_correct,0.4166666666666667,0.25,0.75,3,2000,"{""1"": 0.25, ""2"": 0.25, ""6"": 0.75}"
PushT,fidelity_constrained_latent_only,11437,15001,6,normalized_margin_rmse,1.0667184008763486,0.9011824424944659,1.1961582216003739,3,2000,"{""1"": 1.1028145385342059, ""2"": 1.1961582216003739, ""6"": 0.9011824424944659}"
PushT,fidelity_constrained_latent_only,11437,15001,6,pose_error,0.12306303317750318,0.11435632025161317,0.13994339720933519,3,2000,"{""1"": 0.11435632025161316, ""2"": 0.13994339720933519, ""6"": 0.11488938207156121}"
PushT,fidelity_constrained_latent_only,11437,15001,6,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,normalized_regret,0.28556686162654066,0.12273108559300601,0.3775531950110061,3,2000,"{""1"": 0.37755319501100615, ""2"": 0.3564163042756098, ""6"": 0.12273108559300602}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,weighted_pairwise_accuracy,0.5668074731826072,0.4832301951620123,0.699529270710359,3,2000,"{""1"": 0.4832301951620123, ""2"": 0.5176629536754501, ""6"": 0.699529270710359}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,top1_correct,0.4583333333333333,0.375,0.5,3,2000,"{""1"": 0.5, ""2"": 0.375, ""6"": 0.5}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,normalized_margin_rmse,3.1659601442903216,1.5342694990734056,4.937277367031639,3,2000,"{""1"": 1.5342694990734056, ""2"": 4.937277367031639, ""6"": 3.026333566765919}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,pose_error,0.08080515527633951,0.06599232336164915,0.08899037718294715,3,2000,"{""1"": 0.08743276528442226, ""2"": 0.08899037718294714, ""6"": 0.06599232336164915}"
PushT,fidelity_constrained_matched_geometry,11401,15001,1,selected_is_null,0.08333333333333333,0.0,0.125,3,2000,"{""1"": 0.125, ""2"": 0.0, ""6"": 0.125}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,normalized_regret,0.22559830729036742,0.09435627279769537,0.36900977522639805,3,2000,"{""1"": 0.21342887384700893, ""2"": 0.369009775226398, ""6"": 0.09435627279769537}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,weighted_pairwise_accuracy,0.7265680915664948,0.6471143322048876,0.8348817499687856,3,2000,"{""1"": 0.6977081925258111, ""2"": 0.6471143322048876, ""6"": 0.8348817499687857}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,top1_correct,0.375,0.25,0.5,3,2000,"{""1"": 0.375, ""2"": 0.25, ""6"": 0.5}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,normalized_margin_rmse,1.163552749384842,0.9102188439308817,1.5389631234588255,3,2000,"{""1"": 1.0414762807648188, ""2"": 1.5389631234588257, ""6"": 0.9102188439308818}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,pose_error,0.095094314626866,0.08185539925589104,0.12023645976408616,3,2000,"{""1"": 0.08319108486062082, ""2"": 0.12023645976408616, ""6"": 0.08185539925589104}"
PushT,fidelity_constrained_matched_geometry,11401,15001,3,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,normalized_regret,0.28115882453574137,0.14588356896029495,0.38479144784406755,3,2000,"{""1"": 0.38479144784406755, ""2"": 0.31280145680286153, ""6"": 0.14588356896029495}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,weighted_pairwise_accuracy,0.7109753344415216,0.635010198598918,0.8386402068879057,3,2000,"{""1"": 0.6592755978377409, ""2"": 0.635010198598918, ""6"": 0.8386402068879057}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,top1_correct,0.375,0.25,0.625,3,2000,"{""1"": 0.25, ""2"": 0.25, ""6"": 0.625}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,normalized_margin_rmse,1.0390031528633503,0.8741013216862279,1.185209314239271,3,2000,"{""1"": 1.0576988226645523, ""2"": 1.185209314239271, ""6"": 0.8741013216862279}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,pose_error,0.12101551784420506,0.11180226336922426,0.1378559893054475,3,2000,"{""1"": 0.11180226336922426, ""2"": 0.1378559893054475, ""6"": 0.1133883008579434}"
PushT,fidelity_constrained_matched_geometry,11401,15001,6,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,normalized_regret,0.28556686162654066,0.12273108559300601,0.3775531950110061,3,2000,"{""1"": 0.37755319501100615, ""2"": 0.3564163042756098, ""6"": 0.12273108559300602}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,weighted_pairwise_accuracy,0.5608886005974297,0.4832301951620123,0.6856403818214701,3,2000,"{""1"": 0.4832301951620123, ""2"": 0.5137952248088065, ""6"": 0.6856403818214701}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,top1_correct,0.4583333333333333,0.375,0.5,3,2000,"{""1"": 0.5, ""2"": 0.375, ""6"": 0.5}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,normalized_margin_rmse,3.158551552638537,1.5291824993401104,4.944422734982484,3,2000,"{""1"": 1.5291824993401104, ""2"": 4.944422734982484, ""6"": 3.0020494235930166}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,pose_error,0.08085090973106254,0.06588912927351209,0.08907849479470203,3,2000,"{""1"": 0.0875851051249735, ""2"": 0.08907849479470203, ""6"": 0.06588912927351209}"
PushT,fidelity_constrained_matched_geometry,11419,15001,1,selected_is_null,0.125,0.0,0.25,3,2000,"{""1"": 0.125, ""2"": 0.0, ""6"": 0.25}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,normalized_regret,0.22559830729036742,0.09435627279769537,0.36900977522639805,3,2000,"{""1"": 0.21342887384700893, ""2"": 0.369009775226398, ""6"": 0.09435627279769537}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,weighted_pairwise_accuracy,0.7248185879896525,0.641865821474361,0.8348817499687856,3,2000,"{""1"": 0.6977081925258111, ""2"": 0.641865821474361, ""6"": 0.8348817499687857}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,top1_correct,0.375,0.25,0.5,3,2000,"{""1"": 0.375, ""2"": 0.25, ""6"": 0.5}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,normalized_margin_rmse,1.1627610463582274,0.9098941536247341,1.537612873544421,3,2000,"{""1"": 1.0407761119055272, ""2"": 1.537612873544421, ""6"": 0.909894153624734}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,pose_error,0.0950737323270872,0.08185715657758251,0.12037736242262957,3,2000,"{""1"": 0.08298667798104949, ""2"": 0.12037736242262956, ""6"": 0.08185715657758251}"
PushT,fidelity_constrained_matched_geometry,11419,15001,3,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,11419,15001,6,normalized_regret,0.28115882453574137,0.14588356896029495,0.38479144784406755,3,2000,"{""1"": 0.38479144784406755, ""2"": 0.31280145680286153, ""6"": 0.14588356896029495}"
