environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.406943190786347,1.0,6,6
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.29584552167991374,0.0,3,6
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.15542731492732748,0.8939211199140308,0.0,8,6
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.5958407010353197,1.0,4,4
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.01885074951463251,0.6823948127241906,0.0,4,2
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.9488516591828323,0.13809115707252423,0.0,0,6
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0161718104917741,0.7902372084566874,0.0,4,2
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.8860253256663309,1.0,2,2
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,nan,1.0,7,0
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.22439910568143512,0.7470512008670623,0.0,5,2
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.10985312473301036,0.7187589694450498,0.0,3,2
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,nan,1.0,9,0
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.8728815651574486,1.0,2,2
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.5915498942207866,1.0,3,3
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.04667333317829818,0.9759580478347364,0.0,6,4
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.32628899571658077,0.7348137495418989,0.0,4,6
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.5020079170827089,1.0,6,6
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.5789271149086822,0.5754669978947097,0.0,4,2
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.6955131079635546,1.0,3,3
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,nan,1.0,5,0
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.44201480759003287,0.7492475583310807,0.0,5,2
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.4495795409412687,0.0,7,2
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.0,0.9033067783339074,1.0,7,7
