model,ridge,held_out_group,mse
countsketch_1152_15161,1.0,mean,1.0180212289189188
countsketch_1152_15161,10.0,0,0.7495776827843673
countsketch_1152_15161,10.0,2,1.189909134962567
countsketch_1152_15161,10.0,4,1.5594199159275566
countsketch_1152_15161,10.0,6,0.5851435538999822
countsketch_1152_15161,10.0,mean,1.0210125718936183
countsketch_1152_15161,100.0,0,0.7676349551273366
countsketch_1152_15161,100.0,2,1.2444260252902448
countsketch_1152_15161,100.0,4,1.6101964128832114
countsketch_1152_15161,100.0,6,0.5400205253822861
countsketch_1152_15161,100.0,mean,1.0405694796707696
countsketch_1152_15161,1000.0,0,0.8718889099462925
countsketch_1152_15161,1000.0,2,1.3099577576436585
countsketch_1152_15161,1000.0,4,1.6873622271226862
countsketch_1152_15161,1000.0,6,0.6070014646638122
countsketch_1152_15161,1000.0,mean,1.1190525898441124
countsketch_1152_15161,10000.0,0,1.0930231043925536
countsketch_1152_15161,10000.0,2,1.3922407858022599
countsketch_1152_15161,10000.0,4,1.8292834044992181
countsketch_1152_15161,10000.0,6,0.7283137181729414
countsketch_1152_15161,10000.0,mean,1.2607152532167434
countsketch_1152_15161,100000.0,0,1.3058637169569
countsketch_1152_15161,100000.0,2,1.4414692535683655
countsketch_1152_15161,100000.0,4,2.036886419228092
countsketch_1152_15161,100000.0,6,0.9477945477278642
countsketch_1152_15161,100000.0,mean,1.4330034843703054
countsketch_1152_15161,1000000.0,0,1.4582317328495527
countsketch_1152_15161,1000000.0,2,1.631819522970606
countsketch_1152_15161,1000000.0,4,2.1910061974809065
countsketch_1152_15161,1000000.0,6,1.314090407659861
countsketch_1152_15161,1000000.0,mean,1.6487869652402314
countsketch_1152_15173,0.0001,0,0.4832916045525425
countsketch_1152_15173,0.0001,2,1.2345956769419182
countsketch_1152_15173,0.0001,4,1.5596037035094337
countsketch_1152_15173,0.0001,6,0.6182727997307063
countsketch_1152_15173,0.0001,mean,0.9739409461836502
countsketch_1152_15173,0.001,0,0.48328913100807874
countsketch_1152_15173,0.001,2,1.2345341897403646
countsketch_1152_15173,0.001,4,1.5596383998146393
countsketch_1152_15173,0.001,6,0.6183016956830374
