record_id,trajectory_id,time_index,split,sample_index,agent_pixel_error,agent_patch_error,block_pixel_centroid_offset,block_patch_centroid_offset,agent_patch_support,block_patch_support
20,4,0,construction,7,0.0007801285442411254,0.004544341430999644,0.08223540381532451,0.08236633386102582,2,16
20,4,0,construction,8,0.0008254270822677477,0.006199045321517675,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,9,0.0010612912072670007,0.005963457372932246,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,10,0.0010669068358454463,0.007400367163325045,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,11,0.001045651165184385,0.007509498563944277,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,12,0.001464058799764172,0.0071787071364553395,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,13,0.0009979871937827302,0.006186391753858666,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,14,0.0013929999794796036,0.004316167773346549,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,15,0.0006560134688867226,0.00598312084466727,0.08080539106016374,0.0801871666412085,1,16
20,4,0,construction,16,0.001016288154010339,0.006501628841899142,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,17,0.000798601808717397,0.0061848835938372055,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,18,0.0014408589649270327,0.007164289444759309,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,19,0.0009666225519033593,0.006196887122524578,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,20,0.0010522284861655122,0.007383089461836889,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,21,0.001065850155650099,0.007483517601822592,0.08080539106016374,0.0801871666412085,3,16
20,4,0,construction,22,0.001024574554670289,0.006481918957488375,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,23,0.0008331873132571202,0.006153672539357838,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,24,0.0014084541250117626,0.004321180200721547,0.08080539106016374,0.0801871666412085,2,16
20,4,0,construction,25,0.0006278061690072113,0.006013494126915156,0.08080539106016374,0.0801871666412085,1,16
21,4,1,construction,0,0.0006664680249355371,0.003425475936567299,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,1,0.0006664680249355371,0.003425475936567299,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,2,0.0012503781061742542,0.0007976381261163882,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,3,0.0012781731006172707,0.001995272655954396,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,4,0.0004593585109735775,0.0026928228219788596,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,5,0.0006312876841534289,0.005146029349491554,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,6,0.0008058961846815955,0.0036337672715729017,0.08136413852852924,0.08061690837309983,1,15
21,4,1,construction,7,0.0005805198867208281,0.005967560249275805,0.08075274959804712,0.08033060757333761,2,16
21,4,1,construction,8,0.0007694251048115989,0.005236961199023372,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,9,0.0007027506370307297,0.0063654786658398485,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,10,0.0004925995533113922,0.0028084866007661207,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,11,0.0012347075070007819,0.0007728413806717641,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,12,0.0008774687841619751,0.0032619748924035182,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,13,0.00045580626083042535,0.004741813772044845,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,14,0.0008053950502311454,0.005222425072087998,0.08070646146567118,0.08016142212040248,1,15
21,4,1,construction,15,0.0008364418492332117,0.003673142353040156,0.08030092575335371,0.08012311513285936,2,15
21,4,1,construction,16,0.0005475949654646687,0.005746528068503022,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,17,0.0007439285190078393,0.004677524403714059,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,18,0.000899821780936095,0.0032372189564885308,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,19,0.00046080726295260216,0.0046998715064205145,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,20,0.0004831972808034084,0.002784216078104504,0.08080539106016374,0.0801871666412085,4,16
21,4,1,construction,21,0.0012549642408952425,0.0008048083111898882,0.08080539106016374,0.0801871666412085,2,16
21,4,1,construction,22,7.1865445285006e-05,0.005877356645279722,0.08183744070478219,0.08118299828729152,2,16
21,4,1,construction,23,0.000776790265465669,0.004707936821920703,0.08182050617601686,0.08117207311420781,2,16
21,4,1,construction,24,0.0011501478475362868,0.0048953428718181285,0.08080539106016374,0.0801871666412085,1,16
21,4,1,construction,25,0.0007972376883113498,0.0036547766387879303,0.08178630053709603,0.08113863467956266,2,16
22,4,2,construction,0,0.0009949999627633776,0.004553120549626573,0.08070740269494349,0.07988895273418291,2,15
22,4,2,construction,1,0.0009949999627633776,0.004553120549626573,0.08070740269494349,0.07988895273418291,2,15
22,4,2,construction,2,0.0006813442800536532,0.0022862060452213348,0.0802495505421457,0.07941204163213955,2,16
22,4,2,construction,3,0.0005188436353977106,0.000424853654000256,0.0802495505421457,0.07941204163213955,2,16
22,4,2,construction,4,0.00044734742470725245,0.0036262857965697194,0.08129391931636962,0.08039169909624878,2,16
22,4,2,construction,5,0.0003588648454398891,0.005191540790893772,0.08129391931636962,0.08039169909624878,2,16
22,4,2,construction,6,0.0011716235135341203,0.004481664258989719,0.0810517241481681,0.08097270686604223,4,16
22,4,2,construction,7,0.0009788114044475508,0.005755593616238537,0.07995961410406892,0.08001879723865822,3,17
22,4,2,construction,8,0.0009524558050297359,0.004538132231585984,0.08051158073333113,0.07961666360757663,4,16
22,4,2,construction,9,0.0009297768077548002,0.00582076920965478,0.08051158073333113,0.07961666360757663,3,16
22,4,2,construction,10,9.365119362390824e-05,9.365119362390824e-05,0.08071897142100191,0.07990469545941804,2,16
22,4,2,construction,11,0.0006480635267283631,0.005610315628106303,0.08029480231395326,0.07944657539549677,1,16
22,4,2,construction,12,0.001704927629033029,0.00409971733698281,0.08128203388197114,0.08038081183690579,2,16
22,4,2,construction,13,0.0004704278629256079,0.005551260202294034,0.08134718324621366,0.08040931838763042,2,15
22,4,2,construction,14,0.0011004936674061723,0.006142029276996823,0.08216605791038387,0.08206212986168866,3,17
22,4,2,construction,15,0.0010203448933065083,0.005311851352650062,0.08199011946578655,0.08194981502118653,2,16
22,4,2,construction,16,0.0012497626408072425,0.006332963446531044,0.08051158073333113,0.07961666360757663,3,16
22,4,2,construction,17,0.0009679424018269092,0.0052590765771843295,0.08052932975728935,0.07962527866007034,2,16
22,4,2,construction,18,0.0017309038697293573,0.004073731723107396,0.08025788656880692,0.07942042621916813,2,16
22,4,2,construction,19,0.00043790341800651423,0.005555972810303966,0.08027481241096059,0.07943717129053696,2,16
22,4,2,construction,20,7.319929068635459e-05,7.319929068635459e-05,0.0812825531732141,0.08038128536506385,2,16
22,4,2,construction,21,0.0006908548008099589,0.005653229223441131,0.08017802572212394,0.07932973910455852,1,16
22,4,2,construction,22,0.0012301622931345532,0.006314732787491085,0.08156669920878837,0.08141789648265627,3,16
22,4,2,construction,23,0.0009482177482147642,0.005237222975132647,0.08156669920878837,0.08141789648265627,2,16
22,4,2,construction,24,0.0011561049705479402,0.006244113466773441,0.08051158073333113,0.07961666360757663,3,16
22,4,2,construction,25,0.0009973201781184806,0.005289422309004402,0.0814531544856227,0.08130335282641388,2,16
23,4,3,construction,0,0.0012937374489489543,0.003940883984790114,0.08157106367066722,0.0814945463007364,2,16
23,4,3,construction,1,0.0012937374489489543,0.003940883984790114,0.08157106367066722,0.0814945463007364,2,16
23,4,3,construction,2,0.0012346508780459893,0.0004422187074949559,0.08185376021871224,0.08181477939119022,4,16
23,4,3,construction,3,0.001218749905317008,0.001870555389347769,0.08185376021871224,0.08181477939119022,4,16
23,4,3,construction,4,0.0011453751196440134,0.0023062794858869366,0.08182587241962982,0.08178719201362315,4,16
23,4,3,construction,5,0.0015431035893216745,0.005155862236089565,0.08182587241962982,0.08178719201362315,4,16
