model,split,reader,r2
countsketch_2304_extended,evaluation_post_hoc,block_sin,0.15815921463493665
countsketch_2304_extended,evaluation_post_hoc,block_cos,0.20354758935757367
channel_mean,construction,agent_x,0.9934834324385028
channel_mean,construction,agent_y,0.9966799841745763
channel_mean,construction,block_x,0.9976100879969024
channel_mean,construction,block_y,0.9984801515335875
channel_mean,construction,block_sin,0.997248114333246
channel_mean,construction,block_cos,0.9987091994419958
channel_mean,evaluation_post_hoc,agent_x,0.17696159355903118
channel_mean,evaluation_post_hoc,agent_y,-0.3208448853679997
channel_mean,evaluation_post_hoc,block_x,0.02333966043745883
channel_mean,evaluation_post_hoc,block_y,0.26631596703723415
channel_mean,evaluation_post_hoc,block_sin,-0.03617538274733478
channel_mean,evaluation_post_hoc,block_cos,0.11864270420497569
coordinate_moments_degree1,construction,agent_x,0.9984058405555808
coordinate_moments_degree1,construction,agent_y,0.9985184915156557
coordinate_moments_degree1,construction,block_x,0.99855733933694
coordinate_moments_degree1,construction,block_y,0.998685616038643
coordinate_moments_degree1,construction,block_sin,0.998209463098657
coordinate_moments_degree1,construction,block_cos,0.9987683622720773
coordinate_moments_degree1,evaluation_post_hoc,agent_x,0.8385358012636086
coordinate_moments_degree1,evaluation_post_hoc,agent_y,0.4507839847443895
coordinate_moments_degree1,evaluation_post_hoc,block_x,0.20741063123442938
coordinate_moments_degree1,evaluation_post_hoc,block_y,0.5799266191763437
coordinate_moments_degree1,evaluation_post_hoc,block_sin,0.09067005495954494
coordinate_moments_degree1,evaluation_post_hoc,block_cos,0.20620224208753213
coordinate_moments_degree2,construction,agent_x,0.9998645394748358
coordinate_moments_degree2,construction,agent_y,0.9998756741571759
coordinate_moments_degree2,construction,block_x,0.9999183488311723
coordinate_moments_degree2,construction,block_y,0.9999369133201681
coordinate_moments_degree2,construction,block_sin,0.9998986034545225
coordinate_moments_degree2,construction,block_cos,0.9999354761267046
coordinate_moments_degree2,evaluation_post_hoc,agent_x,0.7734295944859535
coordinate_moments_degree2,evaluation_post_hoc,agent_y,0.5008900225794941
coordinate_moments_degree2,evaluation_post_hoc,block_x,0.1901762025657211
coordinate_moments_degree2,evaluation_post_hoc,block_y,0.6493268129149816
coordinate_moments_degree2,evaluation_post_hoc,block_sin,0.10181846926122284
coordinate_moments_degree2,evaluation_post_hoc,block_cos,0.31336260492351065
spatial_pool_4x4,construction,agent_x,0.9999378701408095
spatial_pool_4x4,construction,agent_y,0.9999382707044925
spatial_pool_4x4,construction,block_x,0.9999748256086668
spatial_pool_4x4,construction,block_y,0.9999772714968701
spatial_pool_4x4,construction,block_sin,0.9999685024734586
spatial_pool_4x4,construction,block_cos,0.9999789014787277
spatial_pool_4x4,evaluation_post_hoc,agent_x,0.7391618211695854
spatial_pool_4x4,evaluation_post_hoc,agent_y,0.17862594417110322
spatial_pool_4x4,evaluation_post_hoc,block_x,0.24155475502597756
spatial_pool_4x4,evaluation_post_hoc,block_y,0.5160092029062506
spatial_pool_4x4,evaluation_post_hoc,block_sin,0.1569176268496656
spatial_pool_4x4,evaluation_post_hoc,block_cos,0.2192003486349594
oracle_patch_geometry,construction,agent_x,0.9974582970308916
oracle_patch_geometry,construction,agent_y,0.9970628132450668
oracle_patch_geometry,construction,block_x,0.9936525331641025
oracle_patch_geometry,construction,block_y,0.9946071970406469
oracle_patch_geometry,construction,block_sin,0.9931631408696908
oracle_patch_geometry,construction,block_cos,0.9942693785135122
oracle_patch_geometry,evaluation_post_hoc,agent_x,0.8717342870002798
oracle_patch_geometry,evaluation_post_hoc,agent_y,0.9116196354913049
oracle_patch_geometry,evaluation_post_hoc,block_x,0.4546145569182527
oracle_patch_geometry,evaluation_post_hoc,block_y,0.45446838573503334
oracle_patch_geometry,evaluation_post_hoc,block_sin,0.191066464582349
oracle_patch_geometry,evaluation_post_hoc,block_cos,-0.32410272431546105
